home_team,away_team,sport_title,commence_time,bookmaker_titles
Carolina Panthers,Cincinnati Bengals,NFL,2024-09-29T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Chicago Bears,Los Angeles Rams,NFL,2024-09-29T17:00:00Z,"['DraftKings', 'Caesars']"
New York Jets,Denver Broncos,NFL,2024-09-29T17:00:00Z,"['DraftKings', 'Caesars']"
Green Bay Packers,Minnesota Vikings,NFL,2024-09-29T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Houston Texans,Jacksonville Jaguars,NFL,2024-09-29T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Indianapolis Colts,Pittsburgh Steelers,NFL,2024-09-29T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Tampa Bay Buccaneers,Philadelphia Eagles,NFL,2024-09-29T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Arizona Cardinals,Washington Commanders,NFL,2024-09-29T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
San Francisco 49ers,New England Patriots,NFL,2024-09-29T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Las Vegas Raiders,Cleveland Browns,NFL,2024-09-29T20:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Chargers,Kansas City Chiefs,NFL,2024-09-29T20:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Baltimore Ravens,Buffalo Bills,NFL,2024-09-30T00:15:00Z,"['DraftKings', 'Caesars']"
Miami Dolphins,Tennessee Titans,NFL,2024-09-30T23:30:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Detroit Lions,Seattle Seahawks,NFL,2024-10-01T00:15:00Z,"['DraftKings', 'Caesars']"
Atlanta Falcons,Tampa Bay Buccaneers,NFL,2024-10-04T00:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Minnesota Vikings,New York Jets,NFL,2024-10-06T13:30:00Z,"['DraftKings', 'FanDuel', 'Caesars', 'Bovada']"
Cincinnati Bengals,Baltimore Ravens,NFL,2024-10-06T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Houston Texans,Buffalo Bills,NFL,2024-10-06T17:00:00Z,"['DraftKings', 'Caesars']"
Chicago Bears,Carolina Panthers,NFL,2024-10-06T17:00:00Z,"['DraftKings', 'Caesars']"
Washington Commanders,Cleveland Browns,NFL,2024-10-06T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Jacksonville Jaguars,Indianapolis Colts,NFL,2024-10-06T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
